,Unnamed: 0,French,English
0,0,chercher,search
1,1,seulement,only
2,2,police,police
3,3,pensais,thought
4,4,aide,help
5,5,demande,request
6,6,genre,kind
7,7,mois,month
8,8,frère,brother
9,9,laisser,let
10,10,car,because
11,11,mettre,to put
12,12,aucun,no
13,13,laisse,leash
14,14,eux,them
15,15,ville,city
16,16,chaque,each
17,17,parlé,speak
18,18,devrait,should
19,19,bébé,baby
20,20,longtemps,long time
21,21,heures,hours
22,22,vont,will
23,23,pendant,while
24,24,revoir,meet again
25,25,aucune,any
26,26,place,square
27,27,parle,speak
28,28,compris,understood
29,29,savais,knew
30,30,étaient,were
31,31,voici,here is
32,32,pourrais,could
33,33,affaire,case
34,34,donner,give
35,35,type,type
36,36,leurs,their
37,37,donné,given
38,38,train,train
39,39,corps,body
40,40,endroit,place
41,41,yeux,eyes
42,42,façon,way
43,43,écoute,listen
44,44,dont,whose
45,45,trouve,find
46,46,premier,first
47,47,perdu,lost
48,48,main,hand
49,49,première,first
50,51,pouvoir,power
51,52,vieux,old
52,53,sois,be
53,54,tiens,here
54,55,matin,morning
55,56,tellement,so much
56,57,enfant,child
57,58,point,point
58,59,venu,came
59,60,suite,after
60,61,pardon,sorry
61,62,venez,come
62,63,devant,in front of
63,64,vers,towards
64,65,minutes,minutes
65,66,demandé,request
66,67,mis,placed
67,68,belle,beautiful
68,69,droit,law
69,70,aimerais,would like to
70,71,aujourd'hui,today
71,72,mari,husband
72,73,cause,cause
73,74,enfin,finally
74,75,espère,hope
75,76,eau,water
76,77,attendez,Wait
77,78,parti,left
78,79,nouvelle,new
79,80,boulot,job
80,81,arrêter,Stop
81,82,dirait,would say
82,83,terre,Earth
83,84,compte,account
84,85,donne,given
85,86,loin,far
86,87,fin,end
87,88,croire,believe
88,89,chérie,sweetheart
89,90,gros,large
90,91,plutôt,rather
91,92,aura,will have
92,93,filles,girls
93,94,jouer,to play
94,95,bureau,office
